timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200550811,200550671,-0.45700577,0.015407096,-0.014250782,0.8892161,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
201050810,201050671,-0.45712984,0.0153966,-0.014255582,0.8891524,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
201550808,201550671,-0.4574558,0.015354778,-0.014267725,0.8889853,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
202050893,202050671,-0.45770565,0.015442228,-0.014299599,0.8888547,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
202550811,202550671,-0.45807898,0.015488571,-0.0143043995,0.8886614,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
203050814,203050671,-0.45844892,0.015573528,-0.014268754,0.8884698,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
203550806,203550671,-0.4586579,0.015657008,-0.014255065,0.88836074,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
204050808,204050671,-0.4589483,0.01570326,-0.014268799,0.88820964,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
204550809,204550672,-0.45918524,0.015542424,-0.014095857,0.8880927,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
205050808,205050671,-0.4595141,0.014932034,-0.013897975,0.8879362,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
205550810,205550671,-0.46241575,-0.00453885,0.0133986315,0.8865504,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
206050815,206050671,-0.49321187,0.0069615636,-0.011964128,0.8697991,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
207050807,207050671,-0.5176337,0.013929655,-0.008661474,0.8554451,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
207550809,207550671,-0.5081912,0.009324463,-0.01244204,0.8611039,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
208050808,208050671,-0.4768432,-0.004356929,0.015476301,0.8788414,0.99999285,-3.9203768e-10,2.0857762e-09,0.0037904806,2
208550809,208550671,-0.44222417,0.013024683,0.01660778,0.8966563,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
209050807,209050671,-0.45038366,0.054188974,0.029840253,0.8906895,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
209550809,209550671,-0.49804085,0.062282577,0.03478693,0.8642141,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
210050810,210050671,-0.54215187,0.07240092,0.038925014,0.83625025,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
210550818,210550671,-0.5454296,0.06122227,0.044483658,0.83473325,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
211550812,211550671,-0.5689384,0.014900468,0.018263673,0.82204235,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
212050807,212050671,-0.5562595,0.016283182,0.005042263,0.8308339,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
212550816,212550671,-0.5550259,-0.015023338,-0.010940165,0.83162546,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
213050810,213050671,-0.55612195,-0.0557929,-0.046575233,0.8279168,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
213550809,213550671,-0.56651706,-0.026501797,-0.039073113,0.82269645,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
214050807,214050671,-0.5738174,-0.018595688,-0.02586723,0.8183635,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
214550812,214550672,-0.5763119,0.0098875435,-0.013379375,0.8170606,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
215050809,215050671,-0.5741745,0.022599835,-0.005882591,0.81839997,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
215550810,215550671,-0.567455,0.030146781,0.0014648545,0.8228511,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
216050816,216050671,-0.55387324,0.062211573,0.017560266,0.83008784,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
216550811,216550672,-0.5535521,0.08342038,0.03408954,0.8279246,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
