timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
200542525,200541729,42042859,60.1877325,24.832678599999998,0.045853835,-0.9829889,-3.0697494,0.2201162,0.143384,-2.0861626e-07,0.00040891996,-0.01142711,0.03109869,0.059271116,-0.025945434,0.04994766,0.011585729,0.032226723,-0.033136126,-0.10775197,-2.1899083,0.05088221,-0.0063723247,0.00729649,6.471999e-05,-9.646487,0.09535146,0.23967156,0.22687893,0.108122475,0.06458544,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201042363,201041729,42042859,60.1877325,24.832678599999998,0.043541078,-0.9916016,-3.0393512,0.2201162,0.143384,-2.0861626e-07,0.0001987858,-0.008566642,0.04103892,0.06710285,-0.025945434,0.04994766,0.011585729,0.045312826,0.09685305,0.15378384,-2.1895094,0.05087928,-0.0063174805,0.00729649,6.474329e-05,-9.646487,0.090717554,0.24004516,0.22753772,0.10817117,0.06464299,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201542176,201541729,42042859,60.1877325,24.832678599999998,0.03733008,-0.997446,-3.0078006,0.2201162,0.143384,-2.0861626e-07,-0.00542411,-0.0052147675,0.051184278,0.07323028,-0.025945434,0.04994766,0.011585729,0.035479397,-0.20549911,0.12134906,-2.1891067,0.05087423,-0.006321455,0.00729649,6.476657e-05,-9.646487,0.08639312,0.24040395,0.22771199,0.108209774,0.06464873,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202042391,202041729,42042859,60.1877325,24.832678599999998,0.033211596,-1.0003251,-2.9823573,0.2201162,0.143384,-2.0861626e-07,-0.0068932865,-0.004465538,0.05815734,0.06995923,-0.025945434,0.04994766,0.011585729,0.086421594,0.27871734,0.2503125,-2.1888304,0.050867803,-0.006336029,0.00729649,6.4790955e-05,-9.646487,0.08000064,0.2407407,0.22786391,0.108224176,0.06464924,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202542429,202541729,42042859,60.1877325,24.832678599999998,0.023917254,-1.0048494,-2.957064,0.2201162,0.143384,-2.0861626e-07,-0.010693271,-0.00026088048,0.06373089,0.0678346,-0.025945434,0.04994766,0.011585729,0.05462717,0.28031567,0.24415743,-2.1885567,0.05086017,-0.006326774,0.00729649,6.481169e-05,-9.646487,0.08197498,0.24102426,0.22846049,0.10821454,0.064692765,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
203042425,203041729,42042859,60.1877325,24.832678599999998,0.014377902,-1.0087183,-2.9321127,0.2201162,0.143384,-2.0861626e-07,-0.013149905,-0.0009718382,0.06715247,0.06476706,-0.025945434,0.04994766,0.011585729,-0.20588338,-0.03707824,-0.17453301,-2.188129,0.050852083,-0.006342641,0.00729649,6.48227e-05,-9.646487,0.08231497,0.24124143,0.22853817,0.10814648,0.06467483,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
203542348,203541731,42042859,60.1877325,24.832678599999998,0.0017856077,-1.0172454,-2.9038246,0.2201162,0.143384,-2.0861626e-07,-0.020091338,-0.004839687,0.07600116,0.069780454,-0.025945434,0.04994766,0.011585729,-0.2686807,-0.09593065,0.0062131607,-2.1876044,0.05084394,-0.006337891,0.00729649,6.483987e-05,-9.646487,0.08085799,0.24145375,0.22859725,0.1081017,0.06465947,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
204042361,204041729,42042859,60.1877325,24.832678599999998,-0.010092481,-1.0191442,-2.8708303,0.2201162,0.143384,-2.0861626e-07,-0.018370233,-0.005852987,0.082158536,0.075143114,-0.025945434,0.04994766,0.011585729,0.23064546,-0.2949541,0.14519748,-2.1873455,0.050836056,-0.0062941466,0.00729649,6.48658e-05,-9.646487,0.0843482,0.24168953,0.22917274,0.108098105,0.064701,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
204542192,204541729,42042859,60.1877325,24.832678599999998,-0.016524356,-1.0103507,-2.8337798,0.2201162,0.143384,-2.0861626e-07,-0.014743298,0.0028435776,0.08271438,0.075175725,-0.025945434,0.04994766,0.011585729,1.1139147,0.9378367,-0.12557897,-2.1869807,0.050826926,-0.0061698295,0.00729649,6.490605e-05,-9.646487,0.08062887,0.24193618,0.2292731,0.108129255,0.06470118,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
205042444,205041729,42042859,60.1877325,24.832678599999998,-0.015063956,-1.0123744,-2.8063574,0.2201162,0.143384,-2.0861626e-07,-0.014062851,0.008973822,0.071828485,0.056997437,-0.025945434,0.04994766,0.011585729,-0.9789715,0.9474877,0.3171457,-2.1861703,0.050818633,-0.006242092,0.00729649,6.493341e-05,-9.646487,0.077875614,0.24213885,0.22933693,0.10813297,0.064691864,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
