timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
199210633,12,0,120,119,97,39,42
200237535,12,0,125,118,91,110,58
201191571,13,0,123,122,100,41,50
202208217,13,0,121,118,100,39,47
203238380,14,0,122,119,96,46,51
204280843,14,0,129,126,100,40,54
205192375,14,0,126,125,99,38,46
206218701,14,0,137,127,97,51,75
207276177,14,0,148,143,100,49,73
208197753,14,0,142,136,100,62,44
209208881,14,0,135,140,100,54,45
210283183,14,0,142,140,97,93,52
212209517,14,0,146,141,100,49,60
213252895,14,0,143,141,100,44,85
214182771,15,0,143,139,100,81,68
215205076,15,0,144,140,100,47,57
216253983,16,0,139,139,100,69,41
217189254,16,0,137,134,97,73,58
218224223,17,0,137,133,100,75,34
219258328,18,0,133,128,100,52,42
220180436,18,0,133,132,97,47,49
221202546,18,0,134,135,97,58,44
222249472,19,0,134,134,97,41,44
223286269,23,0,132,133,100,125,59
224272623,24,0,129,126,97,55,44
225241184,25,0,133,130,97,52,43
226186296,26,0,140,137,100,121,49
227206719,26,0,136,134,100,48,47
228236317,27,0,142,137,100,45,77
229187172,27,0,145,141,94,50,73
230205421,27,0,146,144,97,54,63
231242882,27,0,146,144,95,58,42
232275646,27,0,147,143,100,57,48
233178331,27,0,146,144,94,124,44
234238430,27,0,144,143,92,45,49
235159836,28,0,141,140,100,58,59
236188371,28,0,136,140,100,76,59
237225710,28,0,135,133,94,94,40
238168410,28,0,136,135,100,54,46
239175342,28,0,133,134,97,87,40
240226611,28,0,134,136,97,79,58
241260337,30,0,133,131,99,116,47
242159188,32,0,133,129,100,58,61
243224062,33,0,134,135,97,74,52
244250711,34,0,130,128,100,74,45
245172796,34,0,134,132,100,60,52
246327202,34,0,133,132,97,136,60
248296092,37,0,129,126,97,50,43
249325270,42,0,129,130,100,81,40
250224046,42,0,137,135,100,64,50
251290122,43,0,137,136,100,67,43
252159135,44,0,138,137,100,113,58
253224883,45,0,139,138,100,87,37
254161421,45,0,140,139,100,76,47
255202531,50,0,135,138,100,84,46
256226530,50,0,135,136,100,129,45
257283665,51,0,136,135,100,70,51
258198372,52,0,135,133,97,65,53
259234676,54,0,139,135,97,59,44
260285131,55,0,142,139,93,113,33
261184163,55,0,139,142,98,72,40
262269883,55,0,143,140,91,60,42
263267413,56,0,143,141,97,86,53
264200836,58,0,140,138,100,76,48
265202439,60,0,139,137,100,52,61
266264513,61,0,139,137,97,73,51
267299645,62,0,134,135,79,62,45
268238823,63,0,134,133,100,61,79
269163196,63,0,137,133,100,67,59
270289477,65,0,139,137,100,57,84
271221492,65,0,137,138,94,65,60
272370026,66,0,128,131,73,87,45
273177817,72,0,121,125,97,79,49
274217587,74,0,121,125,91,95,49
275176112,74,0,122,118,100,148,52
276177609,77,0,130,123,94,60,59
277201490,77,0,133,134,100,79,40
278241602,77,0,127,127,96,95,96
279174264,77,0,128,131,97,56,48
280184882,78,0,134,131,98,73,48
281248628,78,0,137,134,93,71,66
282270907,79,0,135,135,100,65,43
283190641,79,0,133,136,97,97,50
284237633,80,0,140,139,97,70,40
285162750,81,0,141,141,100,102,45
286174472,82,0,140,139,100,92,54
287222385,82,0,139,138,100,63,47
288242597,83,0,137,136,98,79,59
289169718,84,0,136,135,100,65,45
290278886,84,0,136,133,97,74,51
291262744,85,0,136,134,100,63,54
292173971,85,0,124,126,100,65,60
293327149,85,0,119,117,97,77,32
294244703,85,0,119,117,100,58,32
295200823,85,0,127,121,100,71,41
296209560,87,0,117,119,100,73,48
297243435,89,0,117,119,100,53,48
298179472,90,0,124,121,100,136,49
299205052,91,0,129,128,100,90,60
300205127,91,0,138,133,100,65,48
301288310,93,0,121,129,97,67,45
302192871,93,0,136,126,100,57,47
303220513,95,0,143,139,100,46,44
304170854,95,0,144,144,100,59,58
305274480,95,0,143,141,100,120,54
307178443,96,0,142,141,100,61,39
308228814,96,0,136,135,100,41,53
309237069,96,0,130,122,100,77,54
310274459,96,0,140,137,75,53,39
311197882,96,0,140,140,91,56,52
312230883,99,0,138,135,97,71,47
313273243,99,0,137,133,95,60,49
315208408,99,0,142,140,97,65,51
316268816,100,0,144,141,91,68,72
317180880,101,0,144,141,96,48,45
318177494,101,0,139,137,100,45,41
319260838,101,0,142,139,96,50,54
320182534,103,0,131,138,97,40,44
321201101,103,0,130,119,100,114,59
322260884,103,0,139,138,98,50,47
323272355,104,0,138,137,100,45,45
325254883,105,0,141,137,100,50,52
327189757,105,0,147,145,100,49,107
328319693,106,0,150,147,95,80,50
329267844,106,0,149,146,97,93,38
330184757,106,0,146,145,97,46,44
331233564,107,0,143,141,100,103,54
332164647,107,0,141,138,100,43,60
333191247,107,0,140,136,100,53,38
334233144,107,0,134,135,97,42,72
335258881,108,0,131,129,100,37,41
336169532,108,0,139,134,98,38,54
337226628,108,0,137,137,100,54,88
338304093,108,0,132,130,91,60,57
339175378,108,0,133,131,100,84,52
340217094,111,0,133,129,100,38,40
341264634,112,0,129,126,96,37,46
342172740,113,0,128,124,100,41,51
343286768,113,0,128,124,97,38,46
344172882,113,0,126,124,100,71,51
345316284,113,0,123,122,97,35,47
346243518,113,0,131,123,100,39,54
348168452,115,0,124,125,96,40,44
349238883,115,0,111,119,100,40,41
351287431,116,0,128,122,92,43,42
352209127,117,0,124,123,90,42,42
353238833,120,0,123,121,95,37,43
354300539,120,0,127,126,80,76,56
356230211,120,0,125,122,97,44,37
357278885,124,0,127,119,89,36,61
358200417,125,0,131,125,100,76,40
359240181,125,0,130,125,86,38,50
