timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
200066733,-0.0048020473,-0.0007806804,0.0009830793,5002,0,-0.09080138,0.333563,-9.830763,5002,0,0,1,1
200071732,-0.0056204516,-0.001315428,-8.286568e-05,4999,0,-0.08465907,0.328256,-9.843186,4999,0,0,1,1
200076729,-0.0041236784,-0.0009535064,6.0831047e-05,4997,0,-0.095936224,0.33068836,-9.852713,4997,0,0,1,1
200081730,-0.0049678804,-0.0007663052,0.00083054707,5001,0,-0.089764625,0.32403278,-9.843082,5001,0,0,1,1
200086730,-0.005358249,-0.0012110316,0.0008187999,5000,0,-0.10028945,0.31021732,-9.831546,5000,0,0,1,1
200216730,-0.0037887767,-0.005537332,-0.0009454281,5001,0,-0.17069149,0.44334218,-9.589046,5001,0,0,1,1
200221729,-0.0030743256,0.0058622174,-0.007328903,4999,0,0.008638397,0.23109624,-9.867445,4999,0,0,1,1
200226729,-0.0074142474,-0.0019846659,-0.008111374,5000,0,-0.21401976,0.46432307,-9.944648,5000,0,0,1,1
200231730,-0.002634624,0.0016599419,-0.009232454,5001,0,-0.07326615,0.16621807,-9.738642,5001,0,0,1,1
200236730,-0.006563545,0.0006543621,-0.0026706723,5000,0,-0.068223864,0.47301468,-9.779294,5000,0,0,1,1
200241730,-0.0025470238,0.0055114524,-0.0008414968,5000,0,-0.1486825,0.14264964,-9.831382,5000,0,0,1,1
200246731,-0.0051907925,-0.0008672261,0.0006572618,5001,0,-0.10321486,0.49277347,-9.98265,5001,0,0,1,1
200251731,-0.0034107154,0.0020369191,0.005535522,5000,0,-0.16727129,-0.017176246,-9.68061,5000,0,0,1,1
200256730,-0.0036510956,-0.0022501843,0.0071502454,4999,0,-0.019135833,0.53016585,-9.954827,4999,0,0,1,1
200261730,-0.004814379,0.00041671965,0.0090811765,5000,0,-0.1391537,0.17934845,-9.775466,5000,0,0,1,1
200266730,-0.0032353746,-0.005565659,0.00822985,5000,0,-0.012947515,0.45993435,-10.000182,5000,0,0,1,1
200271729,-0.0080416035,-0.0019020203,0.005613812,4999,0,-0.114378475,0.13332692,-9.625965,4999,0,0,1,1
200276730,-0.0042347033,-0.0047126375,0.0045422954,5001,0,-0.043719254,0.53892386,-9.998785,5001,0,0,1,1
200281729,-0.0076124114,-0.0016952856,0.0010273014,4999,0,-0.06394079,0.14980985,-9.748621,4999,0,0,1,1
200286730,-0.0024966346,-0.005730855,-0.0019752746,5001,0,-0.035434783,0.44784343,-9.909201,5001,0,0,1,1
200291729,-0.006062314,-8.3101564e-05,-0.006405162,4999,0,-0.09932258,0.23849541,-9.611064,4999,0,0,1,1
200296729,-0.002486877,-0.0017372296,-0.0057468466,5000,0,-0.06673469,0.5507195,-10.099984,5000,0,0,1,1
200301730,-0.006272317,-0.0030728579,-0.0070355986,5001,0,-0.20603052,0.1471369,-9.572184,5001,0,0,1,1
200306730,-0.0022794185,0.0018004351,-0.007031563,5000,0,-0.07294536,0.4529844,-10.032823,5000,0,0,1,1
200311729,-0.0045628436,-0.001043325,-0.0037573392,4999,0,-0.17980185,0.15817408,-9.664651,4999,0,0,1,1
200316736,-0.0013343237,0.00034246364,-0.0015907161,5007,0,-0.10730732,0.35347,-9.94066,5007,0,0,1,1
