timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
200824967,1200.0,0.39491013,1161.385,0.0,5015,0,633.6628,5110,40,0,0,2,0.007827789,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201895106,1200.0,0.39491013,1548.935,0.0,5050,0,587.97534,5137,47,0,0,2,0.009149309,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202884979,1200.0,0.39491013,863.4193,0.0,5071,0,617.8597,5161,49,0,0,2,0.009494284,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203814961,1200.0,0.39491013,899.0099,0.0,5094,0,610.8911,5189,49,0,0,2,0.009443053,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204904983,1200.0,0.39491013,1336.9988,0.0,5127,0,639.9994,5216,49,0,0,2,0.009394172,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205874960,1200.0,0.39491013,1015.9553,0.0,5151,0,593.9739,5243,49,0,0,2,0.009345794,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206955131,1200.0,0.39491013,1383.2299,0.0,5183,0,610.9183,5270,49,0,0,2,0.009297913,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207864961,1200.0,0.39491013,843.9992,0.0,5203,0,708.9993,5301,49,0,0,2,0.009243539,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208864982,1200.0,0.39491013,917.82263,0.0,5225,0,656.4363,5326,49,0,0,2,0.00920015,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209965049,1200.0,0.39491013,1227.9706,0.0,5257,0,480.98846,5352,53,0,0,2,0.0099028405,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211875084,1200.0,0.39491013,1390.099,0.0,5309,0,636.63367,5403,56,0,0,2,0.010364613,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212925012,1200.0,0.39491013,849.50494,0.0,5334,0,497.0297,5431,56,0,0,2,0.010311177,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213935082,1200.0,0.39491013,928.9991,0.0,5356,0,639.9994,5457,56,0,0,2,0.010262049,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214874961,1200.0,0.39491013,1204.9517,0.0,5382,0,544.555,5482,60,0,0,2,0.01094491,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215935139,1200.0,0.39491013,1018.7634,0.0,5409,0,656.4044,5507,62,0,0,2,0.011258398,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216935101,1200.0,0.39491013,1384.8975,0.0,5439,0,432.96796,5533,62,0,0,2,0.011205494,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217995079,1200.0,0.39491013,837.7249,0.0,5463,0,633.73987,5560,65,0,0,2,0.011690647,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218925013,1200.0,0.39491013,941.95,0.0,5483,0,639.96606,5582,68,0,0,2,0.012182014,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219935083,1200.0,0.39491013,1205.0126,0.0,5512,0,565.3756,5609,68,0,0,2,0.012123373,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220995122,1200.0,0.39491013,1005.9415,0.0,5538,0,565.34705,5636,68,0,0,2,0.012065294,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221925024,1200.0,0.39491013,1417.9987,0.0,5569,0,596.99945,5664,68,0,0,2,0.0120056495,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222935110,1200.0,0.39491013,835.64355,0.0,5590,0,656.43567,5687,73,0,0,2,0.012836293,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223944967,1200.0,0.39491013,927.9573,0.0,5612,0,455.979,5710,75,0,0,2,0.013134851,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224924981,1200.0,0.39491013,1177.2825,0.0,5641,0,430.7131,5729,85,0,0,2,0.014836796,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225925014,1200.0,0.39491013,1014.9431,0.0,5666,0,547.9693,5752,88,0,0,2,0.015299027,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226975081,1200.0,0.39491013,1440.674,0.0,5700,0,519.8308,5777,90,0,0,2,0.015579021,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227905128,1200.0,0.39491013,856.9992,0.0,5721,0,616.9994,5801,93,0,0,2,0.016031718,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228924962,1200.0,0.39491013,926.9805,0.0,5742,0,570.98804,5829,93,0,0,2,0.015954709,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229964987,1200.0,0.39491013,1203.9855,0.0,5773,0,565.3583,5851,97,0,0,2,0.016578363,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230905030,1200.0,0.39491013,1013.9787,0.0,5797,0,616.98706,5878,97,0,0,2,0.01650221,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231924961,1200.0,0.39491013,1340.9664,0.0,5831,0,524.9869,5903,101,0,0,2,0.017109944,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232975191,1200.0,0.39491013,898.0616,0.0,5852,0,633.6929,5931,101,0,0,2,0.017029168,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234905040,1200.0,0.39491013,1183.9739,0.0,5904,0,524.9884,5970,114,0,0,2,0.019095477,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235965016,1200.0,0.39491013,1034.677,0.0,5927,0,405.94986,5991,120,0,0,2,0.020030046,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
