timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
200937538,1743089289908848,-1743089088971703,-1743089088980015,779,2
201943256,1743089290914191,-1743089088971196,-1743089088979982,475,2
202947906,1743089291918576,-1743089088970916,-1743089088979949,485,2
203953483,1743089292923863,-1743089088970636,-1743089088979914,506,2
204958359,1743089293928354,-1743089088970411,-1743089088979879,826,2
205963208,1743089294932878,-1743089088970006,-1743089088979843,667,2
206967854,1743089295938014,-1743089088970449,-1743089088979808,570,2
207973224,1743089296943815,-1743089088970870,-1743089088979775,550,2
208977087,1743089297947812,-1743089088971219,-1743089088979742,982,2
209977673,1743089298949046,-1743089088971645,-1743089088979711,539,2
211987878,1743089300959947,-1743089088972334,-1743089088979651,523,2
212993190,1743089301965522,-1743089088972625,-1743089088979623,581,2
213996780,1743089302969448,-1743089088972928,-1743089088979596,515,2
214997666,1743089303970641,-1743089088973224,-1743089088979570,493,2
216003257,1743089304976430,-1743089088973495,-1743089088979544,637,2
217008197,1743089305981629,-1743089088973822,-1743089088979520,772,2
218013313,1743089306987025,-1743089088974020,-1743089088979496,609,2
219016118,1743089307989902,-1743089088974094,-1743089088979472,614,2
220023321,1743089308997448,-1743089088974425,-1743089088979449,588,2
221027922,1743089310002170,-1743089088974580,-1743089088979427,656,2
222033273,1743089311007674,-1743089088974771,-1743089088979406,733,2
223038409,1743089312012948,-1743089088975157,-1743089088979386,1231,2
224044400,1743089313019179,-1743089088975301,-1743089088979366,1037,2
225047895,1743089314022843,-1743089088975275,-1743089088979346,647,2
226053455,1743089315028449,-1743089088975374,-1743089088979326,755,2
227056259,1743089316031102,-1743089088975264,-1743089088979306,837,2
228063518,1743089317038824,-1743089088975714,-1743089088979287,809,2
229066343,1743089318041150,-1743089088975414,-1743089088979268,1206,2
230073485,1743089319048925,-1743089088975812,-1743089088979250,738,2
231078375,1743089320053685,-1743089088975764,-1743089088979232,901,2
232083439,1743089321059056,-1743089088975981,-1743089088979214,720,2
233088197,1743089322063756,-1743089088975969,-1743089088979196,812,2
234093474,1743089323069087,-1743089088976021,-1743089088979179,808,2
235097818,1743089324073510,-1743089088975980,-1743089088979161,569,2
236103396,1743089325079129,-1743089088976079,-1743089088979144,687,2
237107878,1743089326083535,-1743089088975978,-1743089088979127,634,2
238113256,1743089327088951,-1743089088976068,-1743089088979110,739,2
239118348,1743089328093892,-1743089088976050,-1743089088979092,1005,2
240123421,1743089329099148,-1743089088976077,-1743089088979075,695,2
241127928,1743089330103646,-1743089088976048,-1743089088979058,655,2
242133521,1743089331109185,-1743089088976062,-1743089088979041,791,2
243135260,1743089332110907,-1743089088975881,-1743089088979023,460,2
244144294,1743089333119421,-1743089088975931,-1743089088979006,1601,2
245148029,1743089334123552,-1743089088975886,-1743089088978988,718,2
246153458,1743089335128865,-1743089088975825,-1743089088978970,830,2
247158021,1743089336133437,-1743089088975790,-1743089088978952,740,2
248163338,1743089337138685,-1743089088975667,-1743089088978934,635,2
249168031,1743089338143252,-1743089088975595,-1743089088978916,743,2
250173304,1743089339148535,-1743089088975580,-1743089088978897,690,2
251175325,1743089340150469,-1743089088975409,-1743089088978878,523,2
252183403,1743089341158441,-1743089088975398,-1743089088978859,714,2
253187855,1743089342162744,-1743089088975197,-1743089088978840,608,2
254193499,1743089343168320,-1743089088975226,-1743089088978821,803,2
255198352,1743089344172907,-1743089088974980,-1743089088978801,844,2
256203333,1743089345177932,-1743089088974995,-1743089088978780,785,2
257207938,1743089346182457,-1743089088974845,-1743089088978760,645,2
258213482,1743089347187812,-1743089088974763,-1743089088978739,858,2
259215146,1743089348189365,-1743089088974514,-1743089088978718,585,2
260217823,1743089349191973,-1743089088974489,-1743089088978696,673,2
261223536,1743089350197550,-1743089088974412,-1743089088978675,791,2
262228020,1743089351201697,-1743089088974046,-1743089088978652,733,2
263233300,1743089352207056,-1743089088974099,-1743089088978629,681,2
264238389,1743089353211675,-1743089088973911,-1743089088978606,1244,2
265244095,1743089354217350,-1743089088973931,-1743089088978583,1345,2
266248206,1743089355221403,-1743089088973590,-1743089088978559,781,2
267253468,1743089356226563,-1743089088973466,-1743089088978535,736,2
268255141,1743089357227995,-1743089088973192,-1743089088978510,668,2
269256783,1743089358229598,-1743089088973078,-1743089088978485,520,2
270258174,1743089359230568,-1743089088972874,-1743089088978458,954,2
271259589,1743089360232085,-1743089088972758,-1743089088978432,518,2
272263275,1743089361235539,-1743089088972622,-1743089088978405,711,2
273268024,1743089362240152,-1743089088972504,-1743089088978378,745,2
274273501,1743089363245478,-1743089088972353,-1743089088978351,746,2
275274697,1743089364246509,-1743089088972104,-1743089088978323,579,2
276277810,1743089365249438,-1743089088971968,-1743089088978294,674,2
277283529,1743089366254935,-1743089088971871,-1743089088978265,923,2
278287848,1743089367259115,-1743089088971526,-1743089088978235,510,2
279293481,1743089368264506,-1743089088971407,-1743089088978205,756,2
280294574,1743089369265448,-1743089088971115,-1743089088978174,476,2
281298321,1743089370268740,-1743089088970860,-1743089088978142,876,2
282303256,1743089371273718,-1743089088970839,-1743089088978110,748,2
283307844,1743089372278097,-1743089088970546,-1743089088978078,580,2
284313684,1743089373283783,-1743089088970508,-1743089088978045,809,2
285318376,1743089374288009,-1743089088970055,-1743089088978011,837,2
286324083,1743089375293523,-1743089088970024,-1743089088977977,1160,2
287328031,1743089376297516,-1743089088969820,-1743089088977942,663,2
288333479,1743089377302773,-1743089088969656,-1743089088977907,716,2
289334654,1743089378303763,-1743089088969390,-1743089088977871,557,2
290338405,1743089379307028,-1743089088969193,-1743089088977835,1134,2
291344262,1743089380312908,-1743089088969487,-1743089088977799,1677,2
292348035,1743089381316495,-1743089088968818,-1743089088977762,708,2
293350532,1743089382318778,-1743089088968496,-1743089088977724,492,2
294351645,1743089383319661,-1743089088968294,-1743089088977685,551,2
295353488,1743089384321237,-1743089088968142,-1743089088977645,780,2
296354547,1743089385322136,-1743089088968008,-1743089088977605,833,2
297357783,1743089386325181,-1743089088967726,-1743089088977565,651,2
298360516,1743089387327689,-1743089088967380,-1743089088977523,406,2
299363297,1743089388330233,-1743089088967365,-1743089088977481,852,2
300368030,1743089389334749,-1743089088967054,-1743089088977439,664,2
301372703,1743089390338601,-1743089088966483,-1743089088977395,1162,2
302378037,1743089391344330,-1743089088966657,-1743089088977351,706,2
303384080,1743089392350102,-1743089088966622,-1743089088977307,1192,2
304388027,1743089393353874,-1743089088966175,-1743089088977262,651,2
305393539,1743089394359015,-1743089088965949,-1743089088977216,810,2
306398332,1743089395363527,-1743089088965695,-1743089088977170,993,2
307403320,1743089396368521,-1743089088965531,-1743089088977123,655,2
308408162,1743089397373021,-1743089088965270,-1743089088977075,815,2
309413484,1743089398378124,-1743089088965004,-1743089088977027,720,2
310417997,1743089399382367,-1743089088964720,-1743089088976978,694,2
311423312,1743089400387543,-1743089088964623,-1743089088976928,778,2
312427884,1743089401391904,-1743089088964288,-1743089088976877,530,2
313433438,1743089402397148,-1743089088964125,-1743089088976827,629,2
314438379,1743089403401929,-1743089088963991,-1743089088976775,877,2
315440149,1743089404403373,-1743089088963561,-1743089088976723,668,2
316442670,1743089405405192,-1743089088963192,-1743089088976669,1332,2
317448198,1743089406410906,-1743089088963143,-1743089088976615,863,2
318453484,1743089407416081,-1743089088963013,-1743089088976561,826,2
320458346,1743089409420334,-1743089088962351,-1743089088976450,719,2
321463229,1743089410425093,-1743089088962215,-1743089088976394,694,2
322468140,1743089411429710,-1743089088961957,-1743089088976337,766,2
323473515,1743089412434925,-1743089088961853,-1743089088976279,881,2
324478328,1743089413439288,-1743089088961334,-1743089088976221,743,2
