timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200067033,200066733,-0.4579672,0.011656888,-0.012919379,0.88879883,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200072080,200071732,-0.4579651,0.011658539,-0.012922042,0.88879985,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200077043,200076729,-0.45796338,0.01165767,-0.012921831,0.88880074,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200082023,200081730,-0.4579633,0.0116573265,-0.012923732,0.88880074,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200087020,200086730,-0.45796326,0.011658421,-0.012926023,0.8888007,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200217022,200216730,-0.45800793,0.011669151,-0.012927599,0.8887775,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200222023,200221729,-0.45798945,0.011651891,-0.0129324095,0.8887872,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200227021,200226729,-0.45796937,0.011657054,-0.012937849,0.8887974,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200232034,200231730,-0.4579468,0.011648679,-0.01293681,0.88880914,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200237071,200236730,-0.4579388,0.011646832,-0.01294352,0.8888132,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200242028,200241730,-0.45793486,0.011629537,-0.012946921,0.8888155,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200247031,200246731,-0.4579343,0.011629415,-0.012949259,0.88881564,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200252042,200251731,-0.4579446,0.0116206445,-0.01295111,0.88881046,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200257042,200256730,-0.45795864,0.011621627,-0.012948611,0.88880324,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200262021,200261730,-0.45797685,0.011617954,-0.012951806,0.8887939,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200267021,200266730,-0.45799342,0.0116257975,-0.012944597,0.88878536,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200272066,200271729,-0.45800385,0.0116310865,-0.0129521815,0.8887797,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200277045,200276730,-0.45801222,0.011638305,-0.012948039,0.88877547,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200282016,200281729,-0.4580125,0.011642797,-0.012954752,0.88877517,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200287027,200286730,-0.45800632,0.011650503,-0.0129453605,0.88877827,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200292063,200291729,-0.45799008,0.011649885,-0.012950232,0.8887866,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200297022,200296729,-0.45797545,0.011648832,-0.01294526,0.88879424,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200302017,200301730,-0.4579579,0.011655124,-0.012947133,0.8888032,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200307035,200306730,-0.45794043,0.01164602,-0.012945686,0.88881236,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200312118,200311729,-0.45793027,0.011645744,-0.012946152,0.8888176,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200317030,200316736,-0.45792493,0.011638616,-0.012941059,0.8888205,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200322015,200321730,-0.4579307,0.011630737,-0.012945459,0.8888175,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200327021,200326729,-0.45794082,0.011628113,-0.012948995,0.8888124,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200332063,200331734,-0.45795777,0.0116144745,-0.012953652,0.88880366,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200337026,200336733,-0.45797744,0.011614498,-0.012958878,0.8887936,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200342069,200341730,-0.45799384,0.011605169,-0.012965655,0.888785,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200347031,200346730,-0.4580078,0.011609381,-0.012968287,0.8887778,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200352069,200351730,-0.4580136,0.011613078,-0.012969393,0.8887748,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200357055,200356730,-0.45801267,0.011619927,-0.012969603,0.88877517,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200372074,200371729,-0.45797884,0.011620398,-0.012954149,0.8887928,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200377021,200376730,-0.45796013,0.011624827,-0.012952051,0.8888024,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200382018,200381730,-0.45794326,0.011630237,-0.012948267,0.8888111,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200387064,200386733,-0.45793507,0.01163449,-0.012947394,0.8888153,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200392033,200391729,-0.457931,0.011643191,-0.012948243,0.88881713,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200397024,200396730,-0.4579347,0.011637661,-0.01295381,0.8888153,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200402042,200401729,-0.45794737,0.011630348,-0.01294404,0.888809,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200407062,200406729,-0.4579631,0.011622647,-0.012940808,0.88880104,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200412032,200411730,-0.45798418,0.011609808,-0.012940318,0.8887903,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200417023,200416730,-0.45800364,0.011597396,-0.012952497,0.8887804,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200422022,200421730,-0.45801544,0.01159164,-0.012957937,0.88877416,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200427023,200426730,-0.45802587,0.011595958,-0.012972829,0.88876855,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200432034,200431730,-0.45802417,0.011599319,-0.012981416,0.8887694,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
