timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
199956366,0,60.1877328,24.83266,-6.726,10.967,1743089288899969,11141125,0.26700002,3.1415925,1.0040001,1.618,0.69,1.02,73,23,0.037,0.009000001,0.035,0.020000001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200074061,0,60.1877329,24.8326599,-6.747,10.946,1743089288999970,11141125,0.256,3.1415925,1.0040001,1.618,0.69,1.02,73,17,0.039,0.031000001,-0.023000002,0.022000002,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200257134,0,60.1877329,24.8326599,-6.753,10.941,1743089289199969,11141125,0.245,3.1415925,1.005,1.6200001,0.69,1.02,73,17,0.027,0.007,-0.026,0.038000003,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200357103,0,60.1877328,24.83266,-6.75,10.943,1743089289299969,11141125,0.266,3.1415925,1.006,1.621,0.69,1.02,73,17,0.034,-0.015000001,0.031000001,0.028,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200457097,0,60.1877328,24.83266,-6.756,10.938,1743089289399969,11141125,0.27100003,3.1415925,1.006,1.6220001,0.69,1.02,73,17,0.046000004,0.009000001,0.045,0.027,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200557105,0,60.1877328,24.8326599,-6.7620000000000005,10.931000000000001,1743089289499969,11141125,0.266,3.1415925,1.0070001,1.623,0.69,1.02,73,17,0.064,-0.041,-0.049000002,0.014,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200656168,0,60.1877328,24.8326599,-6.76,10.933,1743089289599969,11141125,0.24800001,3.1415925,1.0070001,1.6240001,0.69,1.02,73,17,0.007,0.006,-0.002,0.017,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200756170,0,60.1877328,24.832659699999997,-6.759,10.934000000000001,1743089289699969,11141125,0.256,3.1415925,1.008,1.6250001,0.69,1.02,73,17,0.07,0.030000001,-0.063,0.039,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200854870,0,60.1877329,24.8326598,-6.766,10.927,1743089289799969,11141125,0.266,3.1415925,1.008,1.626,0.69,1.02,73,17,0.040000003,0.009000001,0.039,0.033,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
200957091,0,60.1877328,24.8326598,-6.766,10.928,1743089289899969,11141125,0.27100003,3.1415925,1.0090001,1.6270001,0.69,1.02,73,17,0.021000002,0.0,0.021000002,0.007,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201062860,0,60.1877328,24.8326599,-6.782,10.911,1743089289999970,11141125,0.26000002,3.1415925,1.0090001,1.628,0.69,1.02,73,27,0.036000002,-0.026,0.025,0.037,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201154861,0,60.1877328,24.832659699999997,-6.767,10.927,1743089290099969,11141125,0.26700002,3.1415925,1.01,1.6290001,0.69,1.02,73,27,0.08400001,-0.057000004,-0.063,0.013,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201257058,0,60.1877328,24.8326598,-6.7700000000000005,10.923,1743089290199969,11141125,0.264,3.1415925,1.01,1.6290001,0.69,1.02,73,27,0.042000003,0.034,0.024,-0.012,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201356169,0,60.1877327,24.8326598,-6.796,10.898,1743089290299969,11141125,0.26900002,3.1415925,1.011,1.6300001,0.69,1.02,73,27,0.052,-0.048,0.020000001,0.026,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201452770,0,60.1877328,24.8326599,-6.757000000000001,10.936,1743089290399969,11141125,0.26500002,3.1415925,1.011,1.631,0.69,1.02,73,27,0.051000003,0.038000003,0.034,-0.014,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201556180,0,60.1877328,24.8326598,-6.756,10.937,1743089290499969,11141125,0.259,3.1415925,1.0120001,1.6320001,0.69,1.02,73,27,0.037,-0.030000001,-0.022000002,-0.026,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201656177,0,60.1877327,24.8326598,-6.779,10.914,1743089290599969,11141125,0.25800002,3.1415925,1.0120001,1.6320001,0.69,1.02,73,27,0.031000001,-0.022000002,0.022000002,0.003,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201756188,0,60.1877327,24.8326598,-6.7860000000000005,10.908,1743089290699969,11141125,0.24800001,3.1415925,1.0120001,1.6330001,0.69,1.02,73,27,0.016,0.006,0.015000001,0.001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201857065,0,60.1877328,24.832659699999997,-6.759,10.934000000000001,1743089290799969,11141125,0.264,3.1415925,1.013,1.6330001,0.69,1.02,73,27,0.074,0.066,-0.034,-0.036000002,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
201957074,0,60.1877327,24.832659699999997,-6.79,10.903,1743089290899969,11141125,0.26500002,3.1415925,1.013,1.6340001,0.69,1.02,73,27,0.056,-0.054,-0.012,-0.007,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202064158,0,60.1877327,24.8326596,-6.799,10.894,1743089290999970,11141125,0.252,3.0144498,1.013,1.6340001,0.69,1.02,73,16,0.083000004,-0.069000006,-0.046000004,0.036000002,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202156089,0,60.1877327,24.8326598,-6.785,10.908,1743089291099969,11141125,0.24900001,3.1415925,1.014,1.6350001,0.69,1.02,73,16,0.079,-0.016,0.07700001,0.011000001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202259867,0,60.1877327,24.8326598,-6.788,10.905,1743089291199969,11141125,0.263,3.1415925,1.014,1.6350001,0.69,1.02,73,16,0.071,0.068,0.018000001,0.013,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202356093,0,60.1877326,24.8326599,-6.784,10.909,1743089291299969,11141125,0.25300002,3.1415925,1.014,1.636,0.69,1.02,73,16,0.071,-0.064,0.030000001,-0.016,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202457073,0,60.1877326,24.8326598,-6.812,10.882,1743089291399969,11141125,0.24300002,3.1415925,1.0150001,1.636,0.69,1.02,73,16,0.034,-0.018000001,-0.029000001,0.011000001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202557871,0,60.1877326,24.8326598,-6.808,10.886000000000001,1743089291499969,11141125,0.257,3.1415925,1.0150001,1.6370001,0.69,1.02,73,16,0.028,-0.028,-0.004,0.013,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202657079,0,60.1877326,24.8326599,-6.804,10.889,1743089291599970,11141125,0.24900001,3.1415925,1.0150001,1.6370001,0.69,1.02,73,16,0.027,-0.019000001,0.020000001,-0.003,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202757867,0,60.1877326,24.8326599,-6.811,10.882,1743089291699970,11141125,0.26000002,3.1415925,1.016,1.6380001,0.69,1.02,73,16,0.018000001,0.018000001,0.003,-0.004,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202857090,0,60.1877326,24.832659699999997,-6.8260000000000005,10.868,1743089291799970,11141125,0.22900002,3.1415925,1.016,1.6380001,0.69,1.02,73,16,0.081,-0.0050000004,-0.081,0.046000004,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
202957098,0,60.187732499999996,24.8326598,-6.816,10.877,1743089291899970,11141125,0.257,3.1415925,1.016,1.639,0.69,1.02,73,16,0.047000002,-0.041,0.024,0.044000003,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
203062860,0,60.187732499999996,24.832659699999997,-6.82,10.873000000000001,1743089291999971,11141125,0.23900001,3.1415925,1.0170001,1.639,0.69,1.02,73,26,0.021000002,-0.018000001,-0.011000001,0.030000001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
203158860,0,60.187732499999996,24.832659699999997,-6.814,10.879,1743089292099970,11141125,0.257,3.1415925,1.0170001,1.6400001,0.69,1.02,73,26,0.021000002,-0.016,0.015000001,0.015000001,3.8897295,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
