timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
200042333,0,1,1,1,1,1,1,0,0,0,1,1
201042532,0,1,1,1,1,1,1,0,0,0,1,1
202042561,0,1,1,1,1,1,1,0,0,0,1,1
203042579,0,1,1,1,1,1,1,0,0,0,1,1
204032301,0,1,0,0,1,0,1,0,0,0,1,0
204042531,0,0,0,0,1,0,1,0,0,0,1,0
205042562,0,0,0,0,1,0,0,0,0,0,1,0
206052275,0,0,0,0,1,0,0,1,0,0,1,0
206312600,0,0,0,0,0,0,0,1,0,0,1,0
207322253,0,0,0,0,0,0,0,1,0,0,1,0
208322339,0,0,0,0,0,0,0,1,0,0,1,0
209332326,0,0,0,0,0,0,0,1,0,0,1,0
210332336,0,0,0,0,0,0,0,1,1,0,1,0
211342524,0,0,0,0,0,0,0,1,1,0,1,0
212342546,0,0,0,0,0,0,0,1,1,0,1,0
213342554,0,0,0,0,0,0,0,1,0,0,1,0
214352316,0,0,0,0,0,0,0,1,0,0,1,0
215362287,0,0,0,0,0,0,0,1,0,0,1,0
216362292,0,0,0,0,0,0,0,1,0,0,1,0
217362328,0,0,0,0,0,0,0,1,0,0,1,0
218372321,0,0,0,0,0,0,0,1,0,1,1,0
219382318,0,0,0,0,0,0,0,1,0,0,1,0
220382363,0,0,0,0,0,0,0,0,0,0,1,0
221392530,0,0,0,0,0,0,0,0,0,0,1,0
222402530,0,0,0,0,0,0,0,1,0,0,1,0
223412301,0,0,0,0,0,0,0,1,0,0,1,0
224412339,0,0,0,0,0,0,0,1,0,0,1,0
225422318,0,0,0,0,0,0,0,0,0,0,1,0
226422390,0,0,0,0,0,0,0,1,0,0,1,0
227432285,0,0,0,0,0,0,0,1,0,0,1,0
229442580,0,0,0,0,0,0,0,1,0,0,1,0
230452264,0,0,0,0,0,0,0,1,0,0,1,0
231452312,0,0,0,0,0,0,0,1,0,0,1,0
232462305,0,0,0,0,0,0,0,1,0,0,1,0
233462334,0,0,0,0,0,0,0,1,0,0,1,0
235472327,0,0,0,0,0,0,0,0,0,0,1,0
236482497,0,0,0,0,0,0,0,0,0,0,1,0
237482545,0,0,0,0,0,0,0,1,0,0,1,0
238492258,0,0,0,0,0,0,0,1,0,0,1,0
239492332,0,0,0,0,0,0,0,1,0,0,1,0
240492532,0,0,0,0,0,0,0,1,1,0,1,0
241502302,0,0,0,0,0,0,0,0,0,0,1,0
242512266,0,0,0,0,0,0,0,0,0,0,1,0
243512289,0,0,0,0,0,0,0,0,0,1,1,0
244522315,0,0,0,0,0,0,0,0,1,0,1,0
246532292,0,0,0,0,0,0,0,0,0,1,1,0
248542527,0,0,0,0,0,0,0,1,0,0,1,0
249542528,0,0,0,0,0,0,0,1,0,0,1,0
250542536,0,0,0,0,0,0,0,1,0,0,1,0
251542556,0,0,0,0,0,0,0,0,0,0,1,0
252552266,0,0,0,0,0,0,0,0,0,0,1,0
253552293,0,0,0,0,0,0,0,1,0,1,1,0
254562275,0,0,0,0,0,0,0,1,0,0,1,0
255562349,0,0,0,0,0,0,0,0,0,0,1,0
256572455,0,0,0,0,0,0,0,0,0,0,1,0
257572547,0,0,0,0,0,0,0,0,0,0,1,0
258582265,0,0,0,0,0,0,0,1,0,0,1,0
259582539,0,0,0,0,0,0,0,0,0,0,1,0
260592261,0,0,0,0,0,0,0,0,0,0,1,0
262602272,0,0,0,0,0,0,0,0,0,0,1,0
263602300,0,0,0,0,0,0,0,0,0,0,1,0
264612316,0,0,0,0,0,0,0,0,0,0,1,0
265612343,0,0,0,0,0,0,0,0,0,0,1,0
266622294,0,0,0,0,0,0,0,0,0,0,1,0
267622298,0,0,0,0,0,0,0,0,0,0,1,0
268632260,0,0,0,0,0,0,0,0,0,0,1,0
269632519,0,0,0,0,0,0,0,0,0,0,1,0
270642494,0,0,0,0,0,0,0,0,0,0,1,0
272642581,0,0,0,0,0,0,0,0,0,0,1,0
273652296,0,0,0,0,0,0,0,0,0,0,1,0
274662458,0,0,0,0,0,0,0,0,0,0,1,0
275662508,0,0,0,0,0,0,0,0,0,0,1,0
276672300,0,0,0,0,0,0,0,0,0,0,1,0
277672559,0,0,0,0,0,0,0,0,0,0,1,0
278682289,0,0,0,0,0,0,0,0,0,0,1,0
280692284,0,0,0,0,0,0,0,0,0,0,1,0
281702322,0,0,0,0,0,0,0,0,0,0,1,0
282712321,0,0,0,0,0,0,0,0,0,0,1,0
283722303,0,0,0,0,0,0,0,0,0,0,1,0
284732294,0,0,0,0,0,0,0,0,0,0,1,0
285732338,0,0,0,0,0,0,0,0,0,0,1,0
286742278,0,0,0,0,0,0,0,0,0,0,1,0
287742312,0,0,0,0,0,0,0,0,0,0,1,0
288742315,0,0,0,0,0,0,0,0,0,0,1,0
289742546,0,0,0,0,0,0,0,0,0,0,1,0
290752488,0,0,0,0,0,0,0,1,0,0,1,0
291752572,0,0,0,0,0,0,0,1,0,0,1,0
292762275,0,0,0,0,0,0,0,0,0,0,1,0
293762282,0,0,0,0,0,0,0,0,0,0,1,0
294772268,0,0,0,0,0,0,0,0,0,0,1,0
295772300,0,0,0,0,0,0,0,0,0,0,1,0
296782315,0,0,0,0,0,0,0,0,0,0,1,0
297792269,0,0,0,0,0,0,0,1,0,0,1,0
298802257,0,0,0,0,0,0,0,0,0,0,1,0
299802303,0,0,0,0,0,0,0,0,0,0,1,0
300382305,0,0,0,0,1,1,0,1,0,0,1,0
300482286,0,0,0,0,0,0,0,1,0,0,1,0
300502381,0,0,0,0,1,1,0,1,0,0,1,0
300782614,0,0,0,0,0,0,0,1,0,0,1,0
300792384,0,0,0,0,1,1,0,1,0,0,1,0
301182369,0,0,0,0,0,0,0,1,0,0,1,0
301192643,0,0,0,0,1,1,0,1,0,0,1,0
301482245,0,0,0,0,0,0,0,1,0,0,1,0
301502446,0,0,0,0,1,1,0,1,0,0,1,0
301582286,0,0,0,0,0,0,0,1,0,0,1,0
301602462,0,0,0,0,1,1,0,1,0,0,1,0
301982692,0,0,0,0,0,0,0,1,0,0,1,0
302002438,0,0,0,0,1,1,0,1,0,0,1,0
302082423,0,0,0,0,0,0,0,1,0,0,1,0
302102439,0,0,0,0,1,1,0,1,0,0,1,0
302182433,0,0,0,0,0,0,0,1,0,0,1,0
302192710,0,0,0,0,1,1,0,1,0,0,1,0
302372316,0,0,0,0,0,0,0,1,0,0,1,0
302382335,0,0,0,0,1,1,0,1,0,0,1,0
302882537,0,0,0,0,0,0,0,1,0,0,1,0
302892434,0,0,0,0,1,1,0,1,0,0,1,0
303182244,0,0,0,0,0,0,0,1,0,0,1,0
303192577,0,0,0,0,1,1,0,1,0,0,1,0
303982534,0,0,0,0,0,0,0,1,0,1,1,0
304002297,0,0,0,0,1,1,0,1,0,1,1,0
304382417,0,0,0,0,0,0,0,1,0,0,1,0
304402324,0,0,0,0,1,1,0,1,0,0,1,0
304482659,0,0,0,0,0,0,0,1,0,1,1,0
304492388,0,0,0,0,1,1,0,1,0,1,1,0
304982861,0,0,0,0,0,0,0,1,0,1,1,0
305002262,0,0,0,0,1,1,0,1,0,0,1,0
305382370,0,0,0,0,0,0,0,1,0,0,1,0
305392379,0,0,0,0,1,1,0,1,0,0,1,0
306072295,0,0,0,0,0,0,0,1,0,0,1,0
306302288,0,0,0,0,1,1,0,1,0,0,1,0
306682368,0,0,0,0,0,0,0,1,0,0,1,0
306692641,0,0,0,0,1,1,0,1,0,0,1,0
306782238,0,0,0,0,0,0,0,1,0,0,1,0
306802285,0,0,0,0,1,1,0,1,0,0,1,0
306882256,0,0,0,0,0,0,0,1,0,0,1,0
306902384,0,0,0,0,1,1,0,1,0,0,1,0
307282493,0,0,0,0,0,0,0,1,0,0,1,0
307302290,0,0,0,0,1,1,0,1,0,0,1,0
307782342,0,0,0,0,0,0,0,1,0,0,1,0
307802314,0,0,0,0,1,1,0,1,0,0,1,0
308282298,0,0,0,0,0,0,0,1,0,0,1,0
309292256,0,0,0,0,0,0,0,1,1,0,1,0
310292286,0,0,0,0,0,0,0,1,1,0,1,0
311302295,0,0,0,0,0,0,0,1,1,0,1,0
311502290,0,0,0,0,1,1,0,0,0,0,1,0
311782298,0,0,0,0,0,0,0,1,0,0,1,0
311802359,0,0,0,0,1,1,0,1,0,0,1,0
312282300,0,0,0,0,0,0,0,1,0,0,1,0
312302322,0,0,0,0,1,1,0,1,0,0,1,0
312782285,0,0,0,0,0,0,0,1,0,0,1,0
312802318,0,0,0,0,1,1,0,1,0,0,1,0
313282283,0,0,0,0,0,0,0,1,0,0,1,0
313302324,0,0,0,0,1,1,0,1,0,0,1,0
313782306,0,0,0,0,0,0,0,1,0,0,1,0
313802351,0,0,0,0,1,1,0,1,0,0,1,0
314282300,0,0,0,0,0,0,0,1,0,0,1,0
314302328,0,0,0,0,1,1,0,1,0,0,1,0
314382300,0,0,0,0,0,0,0,1,0,0,1,0
314402354,0,0,0,0,1,1,0,1,0,0,1,0
314782262,0,0,0,0,0,0,0,1,0,0,1,0
314802295,0,0,0,0,1,1,0,1,0,0,1,0
315282310,0,0,0,0,0,0,0,1,0,0,1,0
315302287,0,0,0,0,1,1,0,1,0,0,1,0
315782300,0,0,0,0,0,0,0,1,0,0,1,0
315802369,0,0,0,0,1,1,0,1,0,0,1,0
316682284,0,0,0,0,0,0,0,1,0,0,1,0
316702566,0,0,0,0,1,1,0,1,0,0,1,0
317712535,0,0,0,0,1,1,0,1,0,0,1,0
317772276,0,0,0,0,0,0,0,1,0,0,1,0
318782600,0,0,0,0,0,0,0,1,0,0,1,0
318802310,0,0,0,0,1,1,0,1,0,0,1,0
319282260,0,0,0,0,0,0,0,1,0,0,1,0
319302285,0,0,0,0,1,1,0,1,0,0,1,0
319782256,0,0,0,0,0,0,0,1,0,0,1,0
319802274,0,0,0,0,1,1,0,1,0,0,1,0
320282290,0,0,0,0,0,0,0,1,0,0,1,0
320302333,0,0,0,0,1,1,0,1,0,0,1,0
320782289,0,0,0,0,0,0,0,1,0,0,1,0
320802311,0,0,0,0,1,1,0,1,0,0,1,0
321072255,0,0,0,0,0,0,0,1,0,0,1,0
321082271,0,0,0,0,1,1,0,1,0,0,1,0
321172253,0,0,0,0,0,0,0,1,0,0,1,0
321182272,0,0,0,0,1,1,0,1,0,0,1,0
321282290,0,0,0,0,0,0,0,1,0,0,1,0
321302268,0,0,0,0,1,1,0,1,0,0,1,0
321472252,0,0,0,0,0,0,0,1,0,0,1,0
321482337,0,0,0,0,1,1,0,1,0,0,1,0
321572251,0,0,0,0,0,0,0,1,0,0,1,0
321582281,0,0,0,0,1,1,0,1,0,0,1,0
321782296,0,0,0,0,0,0,0,1,0,0,1,0
321802301,0,0,0,0,1,1,0,1,0,0,1,0
321882287,0,0,0,0,0,0,0,1,0,1,1,0
321902307,0,0,0,0,1,1,0,1,0,1,1,0
322282285,0,0,0,0,0,0,0,1,0,1,1,0
322302353,0,0,0,0,1,1,0,1,0,1,1,0
323312251,0,0,0,0,1,1,0,1,0,0,1,0
323972557,0,0,0,0,0,0,0,0,0,0,1,0
323982318,0,0,0,0,1,1,0,0,0,0,1,0
324992533,0,0,0,0,1,1,0,1,0,0,1,0
326002286,0,0,0,0,1,1,0,1,0,1,1,0
327002289,0,0,0,0,1,1,0,1,0,0,1,0
327082510,0,0,0,0,0,0,0,1,0,0,1,0
327102278,0,0,0,0,1,1,0,1,0,0,1,0
327632528,0,0,0,0,0,0,0,1,0,0,1,0
328632597,0,0,0,0,0,0,0,0,0,0,1,0
329642259,0,0,0,0,0,0,0,0,0,0,1,0
330642330,0,0,0,0,0,0,0,0,0,0,1,0
331652261,0,0,0,0,0,0,0,0,0,0,1,0
332652506,0,0,0,0,0,0,0,0,0,0,1,0
333662362,0,0,0,0,0,0,0,0,0,0,1,0
334662453,0,0,0,0,0,0,0,0,0,0,1,0
335672239,0,0,0,0,0,0,0,1,0,0,1,0
336672270,0,0,0,0,0,0,0,0,0,0,1,0
337522287,0,0,0,0,1,1,0,1,0,0,1,0
337582376,0,0,0,0,0,0,0,1,0,0,1,0
337592433,0,0,0,0,1,1,0,1,0,0,1,0
337682368,0,0,0,0,0,0,0,1,0,1,1,0
337692379,0,0,0,0,1,1,1,1,0,1,1,0
337782656,0,0,0,0,0,0,0,0,0,1,1,0
337792377,0,0,0,0,1,1,1,0,0,1,1,0
338082283,0,0,0,0,0,0,1,0,0,0,1,0
338102288,0,0,0,0,1,1,1,0,0,1,1,0
338442424,0,1,0,0,1,1,1,0,0,1,1,0
338482494,0,0,0,0,0,0,1,0,0,1,1,0
338492427,0,0,0,0,1,1,1,0,0,1,1,0
338832286,0,1,0,0,1,1,1,0,0,0,1,0
339102258,0,0,0,0,1,1,1,0,0,0,1,0
339282393,0,0,0,0,0,0,1,0,0,0,1,0
339292681,0,0,0,0,1,1,1,0,0,0,1,0
339582486,0,0,0,0,0,0,1,0,0,0,1,0
339602282,0,0,0,0,1,1,1,0,0,0,1,0
339942282,0,1,0,0,1,1,1,0,0,0,1,0
340082360,0,0,0,0,0,0,1,0,0,0,1,0
340092380,0,0,0,0,1,1,1,0,0,0,1,0
340182417,0,0,0,0,0,0,1,0,0,0,1,0
340192463,0,0,0,0,1,1,1,0,0,0,1,0
340382441,0,0,0,0,0,0,1,0,0,0,1,0
340392433,0,0,0,0,1,1,1,0,0,0,1,0
340582286,0,0,0,0,0,0,1,0,0,0,1,0
340602303,0,0,0,0,1,1,1,0,0,0,1,0
340682419,0,0,0,0,0,0,1,0,0,0,1,0
340692434,0,0,0,0,1,1,1,0,0,0,1,0
340782428,0,0,0,0,0,0,1,0,0,0,1,0
340792684,0,0,0,0,1,1,1,0,0,0,1,0
340882418,0,0,0,0,0,0,1,0,0,0,1,0
340892504,0,0,0,0,1,1,1,0,0,0,1,0
341082422,0,0,0,0,0,0,1,0,0,0,1,0
341092507,0,0,0,0,1,1,1,0,0,0,1,0
341182373,0,0,0,0,0,0,1,0,0,0,1,0
341192380,0,0,0,0,1,1,1,0,0,0,1,0
341282433,0,0,0,0,0,0,1,0,0,0,1,0
341292678,0,0,0,0,1,1,1,0,0,0,1,0
341382367,0,0,0,0,0,0,1,0,0,0,1,0
341392376,0,0,0,0,1,1,1,0,0,0,1,0
341582366,0,0,0,0,0,0,1,0,0,0,1,0
341592386,0,0,0,0,1,1,1,0,0,0,1,0
341672549,0,0,0,0,0,0,1,0,0,0,1,0
341682296,0,0,0,0,1,1,1,0,0,0,1,0
341772265,0,0,0,0,0,0,1,0,0,0,1,0
341782393,0,0,0,0,1,1,1,0,0,0,1,0
341882370,0,0,0,0,0,0,1,0,0,0,1,0
341892432,0,0,0,0,1,1,1,0,0,0,1,0
341982376,0,0,0,0,0,0,1,0,0,0,1,0
341992374,0,0,0,0,1,1,1,0,0,0,1,0
342082245,0,0,0,0,0,0,1,0,0,0,1,0
342092387,0,0,0,0,1,1,1,0,0,0,1,0
342172294,0,0,0,0,0,0,1,0,0,0,1,0
342182291,0,0,0,0,1,1,1,0,0,0,1,0
342382414,0,0,0,0,0,0,1,0,0,0,1,0
342392442,0,0,0,0,1,1,1,0,0,0,1,0
342482413,0,0,0,0,0,0,1,0,0,0,1,0
342492435,0,0,0,0,1,1,1,0,0,0,1,0
342582714,0,0,0,0,0,0,1,0,0,0,1,0
342592489,0,0,0,0,1,1,1,0,0,0,1,0
342782543,0,0,0,0,0,0,1,0,0,0,1,0
342792685,0,0,0,0,1,1,1,0,0,0,1,0
342882305,0,0,0,0,0,0,1,0,0,0,1,0
342892458,0,0,0,0,1,1,1,0,0,0,1,0
343082418,0,0,0,0,0,0,1,0,0,0,1,0
343102337,0,0,0,0,1,1,1,0,0,0,1,0
343382385,0,0,0,0,0,0,1,0,0,0,1,0
343402413,0,0,0,0,1,1,1,0,0,0,1,0
343482370,0,0,0,0,0,0,1,0,0,0,1,0
343502594,0,0,0,0,1,1,1,0,0,0,1,0
343842281,0,1,0,0,1,1,1,0,0,0,1,0
343882421,0,0,0,0,0,0,1,0,0,0,1,0
343902386,0,0,0,0,1,1,1,0,0,0,1,0
344082740,0,0,0,0,0,0,1,0,0,0,1,0
344102427,0,0,0,0,1,1,1,0,0,0,1,0
344182425,0,0,0,0,0,0,1,0,0,0,1,0
344202296,0,0,0,0,1,1,1,0,0,0,1,0
344542447,0,1,0,0,1,1,1,0,0,0,1,0
344582660,0,0,0,0,0,0,1,0,0,0,1,0
344592429,0,0,0,0,1,1,1,0,0,0,1,0
344782422,0,0,0,0,0,0,1,0,0,0,1,0
344792601,0,0,0,0,1,1,1,0,0,0,1,0
345132287,0,1,0,0,1,1,1,0,0,0,1,0
345182462,0,0,0,0,0,0,1,0,0,0,1,0
345192525,0,0,0,0,1,1,1,0,0,0,1,0
345282381,0,0,0,0,0,0,1,0,0,0,1,0
345292644,0,0,0,0,1,1,1,0,0,0,1,0
345632386,0,1,0,0,1,1,1,0,0,0,1,0
345782370,0,0,0,0,0,0,1,0,0,0,1,0
345792674,0,0,0,0,1,1,1,0,0,0,1,0
345982240,0,0,0,0,0,0,1,0,0,0,1,0
346002261,0,0,0,0,1,1,1,0,0,0,1,0
346082626,0,0,0,0,0,0,1,0,0,0,1,0
346092442,0,0,0,0,1,1,1,0,0,0,1,0
346282638,0,0,0,0,0,0,1,0,0,0,1,0
346292585,0,0,0,0,1,1,1,0,0,0,1,0
346632442,0,1,0,0,1,1,1,0,0,0,1,0
346682452,0,0,0,0,0,0,1,0,0,0,1,0
346692436,0,0,0,0,1,1,1,0,0,0,1,0
346982434,0,0,0,0,0,0,1,0,0,0,1,0
346992433,0,0,0,0,1,1,1,0,0,0,1,0
347082539,0,0,0,0,0,0,1,0,0,0,1,0
347102319,0,0,0,0,1,1,1,0,0,0,1,0
347392501,0,0,0,0,1,1,1,0,0,0,1,0
347482271,0,0,0,0,0,0,1,0,0,0,1,0
347502392,0,0,0,0,1,1,1,0,0,0,1,0
347582642,0,0,0,0,0,0,1,0,0,0,1,0
347602260,0,0,0,0,1,1,1,0,0,0,1,0
347682371,0,0,0,0,0,0,1,0,0,0,1,0
347692388,0,0,0,0,1,1,1,0,0,0,1,0
347782458,0,0,0,0,0,0,1,0,0,0,1,0
347792703,0,0,0,0,1,1,1,0,0,0,1,0
347882374,0,0,0,0,0,0,1,0,0,0,1,0
347892383,0,0,0,0,1,1,1,0,0,0,1,0
348182429,0,0,0,0,0,0,1,0,0,0,1,0
348192376,0,0,0,0,1,1,1,0,0,0,1,0
348382512,0,0,0,0,0,0,1,0,0,0,1,0
348392461,0,0,0,0,1,1,1,0,0,0,1,0
348582658,0,0,0,0,0,0,1,0,0,0,1,0
348602440,0,0,0,0,1,1,1,0,0,0,1,0
348782462,0,0,0,0,0,0,1,0,0,0,1,0
348792687,0,0,0,0,1,1,1,0,0,0,1,0
348882449,0,0,0,0,0,0,1,0,0,0,1,0
348892472,0,0,0,0,1,1,1,0,0,0,1,0
349232459,0,1,0,0,1,1,1,0,0,0,1,0
349282416,0,0,0,0,0,0,1,0,0,0,1,0
349302676,0,0,0,0,1,1,1,0,0,0,1,0
349382243,0,0,0,0,0,0,1,0,0,0,1,0
349392383,0,0,0,0,1,1,1,0,0,0,1,0
349582630,0,0,0,0,0,0,1,0,0,0,1,0
349592382,0,0,0,0,1,1,1,0,0,0,1,0
349682363,0,0,0,0,0,0,1,0,0,0,1,0
349692442,0,0,0,0,1,1,1,0,0,0,1,0
349782369,0,0,0,0,0,0,1,0,0,0,1,0
349792385,0,0,0,0,1,1,1,0,0,0,1,0
349882362,0,0,0,0,0,0,1,0,0,0,1,0
349892384,0,0,0,0,1,1,1,0,0,0,1,0
349982391,0,0,0,0,0,0,1,0,0,0,1,0
349992497,0,0,0,0,1,1,1,0,0,0,1,0
350082702,0,0,0,0,0,0,1,0,0,0,1,0
350092381,0,0,0,0,1,1,1,0,0,0,1,0
350182365,0,0,0,0,0,0,1,0,0,0,1,0
350192424,0,0,0,0,1,1,1,0,0,0,1,0
350282420,0,0,0,0,0,0,1,0,0,0,1,0
350292432,0,0,0,0,1,1,1,0,0,0,1,0
350382515,0,0,0,0,0,0,1,0,0,0,1,0
350392459,0,0,0,0,1,1,1,0,0,0,1,0
350482516,0,0,0,0,0,0,1,0,0,0,1,0
350502293,0,0,0,0,1,1,1,0,0,0,1,0
350682427,0,0,0,0,0,0,1,0,0,0,1,0
350692443,0,0,0,0,1,1,1,0,0,0,1,0
350782416,0,0,0,0,0,0,1,0,0,0,1,0
350792432,0,0,0,0,1,1,1,0,0,0,1,0
350882276,0,0,0,0,0,0,1,0,0,0,1,0
350892437,0,0,0,0,1,1,1,0,0,0,1,0
350982280,0,0,0,0,0,0,1,0,0,0,1,0
351002291,0,0,0,0,1,1,1,0,0,0,1,0
351342272,0,1,0,0,1,1,1,0,0,0,1,0
351572253,0,0,0,0,0,0,1,0,0,0,1,0
351582544,0,0,0,0,1,1,1,0,0,0,1,0
351882420,0,0,0,0,0,0,1,0,0,0,1,0
351892390,0,0,0,0,1,1,1,0,0,0,1,0
352082623,0,0,0,0,0,0,1,0,0,0,1,0
352092383,0,0,0,0,1,1,1,0,0,0,1,0
352182364,0,0,0,0,0,0,1,0,0,0,1,0
352192388,0,0,0,0,1,1,1,0,0,0,1,0
352282393,0,0,0,0,0,0,1,0,0,0,1,0
352292709,0,0,0,0,1,1,1,0,0,0,1,0
352382458,0,0,0,0,0,0,1,0,0,0,1,0
352392434,0,0,0,0,1,1,1,0,0,0,1,0
352482442,0,0,0,0,0,0,1,0,0,0,1,0
352492433,0,0,0,0,1,1,1,0,0,0,1,0
352832423,0,1,0,0,1,1,1,0,0,0,1,0
352882275,0,0,0,0,0,0,1,0,0,0,1,0
352902486,0,0,0,0,1,1,1,0,0,0,1,0
353242517,0,1,0,0,1,1,1,0,0,0,1,0
353282363,0,0,0,0,0,0,1,0,0,0,1,0
353292663,0,0,0,0,1,1,1,0,0,0,1,0
353382610,0,0,0,0,0,0,1,0,0,0,1,0
353392382,0,0,0,0,1,1,1,0,0,0,1,0
353482390,0,0,0,0,0,0,1,0,0,0,1,0
353492378,0,0,0,0,1,1,1,0,0,0,1,0
353582663,0,0,0,0,0,0,1,0,0,0,1,0
353592432,0,0,0,0,1,1,1,0,0,0,1,0
353682420,0,0,0,0,0,0,1,0,0,0,1,0
353692427,0,0,0,0,1,1,1,0,0,0,1,0
353782368,0,0,0,0,0,0,1,0,0,0,1,0
353792646,0,0,0,0,1,1,1,0,0,0,1,0
353882365,0,0,0,0,0,0,1,0,0,0,1,0
353892490,0,0,0,0,1,1,1,0,0,0,1,0
354082652,0,0,0,0,0,0,1,0,0,0,1,0
354092490,0,0,0,0,1,1,1,0,0,0,1,0
354182424,0,0,0,0,0,0,1,0,0,0,1,0
354192434,0,0,0,0,1,1,1,0,0,0,1,0
354282534,0,0,0,0,0,0,1,0,0,0,1,0
354292682,0,0,0,0,1,1,1,0,0,0,1,0
354382415,0,0,0,0,0,0,1,0,0,0,1,0
354392490,0,0,0,0,1,1,1,0,0,0,1,0
354482393,0,0,0,0,0,0,1,0,0,0,1,0
354492450,0,0,0,0,1,1,1,0,0,0,1,0
354582660,0,0,0,0,0,0,1,0,0,0,1,0
354592438,0,0,0,0,1,1,1,0,0,0,1,0
354682393,0,0,0,0,0,0,1,0,0,0,1,0
354692431,0,0,0,0,1,1,1,0,0,0,1,0
354782444,0,0,0,0,0,0,1,0,0,0,1,0
354792672,0,0,0,0,1,1,1,0,0,0,1,0
354882430,0,0,0,0,0,0,1,0,0,0,1,0
354892494,0,0,0,0,1,1,1,0,0,0,1,0
354982419,0,0,0,0,0,0,1,0,0,0,1,0
354992457,0,0,0,0,1,1,1,0,0,0,1,0
355082417,0,0,0,0,0,0,1,0,0,0,1,0
355092444,0,0,0,0,1,1,1,0,0,0,1,0
355182372,0,0,0,0,0,0,1,0,0,0,1,0
355192497,0,0,0,0,1,1,1,0,0,0,1,0
355482610,0,0,0,0,0,0,1,0,0,0,1,0
355492389,0,0,0,0,1,1,1,0,0,0,1,0
355582454,0,0,0,0,0,0,1,0,0,0,1,0
355592382,0,0,0,0,1,1,1,0,0,0,1,0
355682360,0,0,0,0,0,0,1,0,0,0,1,0
355692384,0,0,0,0,1,1,1,0,0,0,1,0
355782626,0,0,0,0,0,0,1,0,0,0,1,0
355792383,0,0,0,0,1,1,1,0,0,0,1,0
355882372,0,0,0,0,0,0,1,0,0,0,1,0
355892387,0,0,0,0,1,1,1,0,0,0,1,0
355982368,0,0,0,0,0,0,1,0,0,0,1,0
355992642,0,0,0,0,1,1,1,0,0,0,1,0
356082380,0,0,0,0,0,0,1,0,0,0,1,0
356092385,0,0,0,0,1,1,1,0,0,0,1,0
356182420,0,0,0,0,0,0,1,0,0,0,1,0
356192539,0,0,0,0,1,1,1,0,0,0,1,0
356282672,0,0,0,0,0,0,1,0,0,0,1,0
356292456,0,0,0,0,1,1,1,0,0,0,1,0
356382418,0,0,0,0,0,0,1,0,0,0,1,0
356392438,0,0,0,0,1,1,1,0,0,0,1,0
356482419,0,0,0,0,0,0,1,0,0,0,1,0
356492750,0,0,0,0,1,1,1,0,0,0,1,0
356582497,0,0,0,0,0,0,1,0,0,0,1,0
356592428,0,0,0,0,1,1,1,0,0,0,1,0
356682450,0,0,0,0,0,0,1,0,0,0,1,0
356692433,0,0,0,0,1,1,1,0,0,0,1,0
356882503,0,0,0,0,0,0,1,0,0,0,1,0
356892435,0,0,0,0,1,1,1,0,0,0,1,0
356982424,0,0,0,0,0,0,1,0,0,0,1,0
356992694,0,0,0,0,1,1,1,0,0,0,1,0
357082418,0,0,0,0,0,0,1,0,0,0,1,0
357092431,0,0,0,0,1,1,1,0,0,0,1,0
357182421,0,0,0,0,0,0,1,0,0,0,1,0
357192386,0,0,0,0,1,1,1,0,0,0,1,0
357282672,0,0,0,0,0,0,1,0,0,0,1,0
357292383,0,0,0,0,1,1,1,0,0,0,1,0
357382426,0,0,0,0,0,0,1,0,0,0,1,0
357392388,0,0,0,0,1,1,1,0,0,0,1,0
