timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
200062295,200061731,42042859,60.1877325,24.832678599999998,0.045347333,-0.975608,-3.0975945,0.2201162,0.143384,-2.0861626e-07,0.0008942104,-0.015181683,0.025991393,0.05342117,-0.025945434,0.04994766,0.011585729,0.0050473204,0.0018061976,0.00027026667,-2.1898737,0.050885566,-0.006242185,0.00729649,6.489097e-05,-9.646487,0.09643555,0.24058177,0.22751144,0.109087035,0.06480524,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200072306,200071732,42042859,60.1877325,24.832678599999998,0.045309078,-0.97573876,-3.0969965,0.2201162,0.143384,-2.0861626e-07,0.00093665376,-0.015148092,0.026031222,0.053521346,-0.025945434,0.04994766,0.011585729,0.0032373846,-0.010345256,-0.007652617,-2.1898775,0.05088574,-0.0062476904,0.00729649,6.4962034e-05,-9.646487,0.09610295,0.24118564,0.22790591,0.10951001,0.0649056,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200262268,200261730,42042859,60.1877325,24.832678599999998,0.04573097,-0.97886145,-3.086309,0.2201162,0.143384,-2.0861626e-07,0.0013407231,-0.012558267,0.027171142,0.054977443,-0.025945434,0.04994766,0.011585729,-0.08367666,0.12047782,0.06456579,-2.1898527,0.050884254,-0.006249526,0.00729649,6.487221e-05,-9.646487,0.09590769,0.24068022,0.22766276,0.109002054,0.06480335,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200462259,200461729,42042859,60.1877325,24.832678599999998,0.04608555,-0.98232746,-3.0745702,0.2201162,0.143384,-2.0861626e-07,4.8752972e-05,-0.012977477,0.030594887,0.058746982,-0.025945434,0.04994766,0.011585729,-0.12804376,0.11612841,-0.005570508,-2.1899707,0.0508827,-0.0064003505,0.00729649,6.486551e-05,-9.646487,0.0959239,0.24080215,0.22782236,0.10896948,0.064808734,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200562269,200561729,42042859,60.1877325,24.832678599999998,0.04581929,-0.98293644,-3.0684633,0.2201162,0.143384,-2.0861626e-07,0.001794876,-0.011139603,0.032186512,0.06042544,-0.025945434,0.04994766,0.011585729,0.5402481,-0.20454977,0.024273546,-2.189744,0.05088255,-0.006218301,0.00729649,6.4861786e-05,-9.646487,0.09465599,0.24086282,0.22766319,0.108962685,0.06478656,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200662522,200661730,42042859,60.1877325,24.832678599999998,0.045277808,-0.9833227,-3.0624564,0.2201162,0.143384,-2.0861626e-07,-0.00015151754,-0.00954579,0.034532662,0.06253818,-0.025945434,0.04994766,0.011585729,0.21364576,0.10336863,0.13853474,-2.1897638,0.050881468,-0.006297712,0.00729649,6.486196e-05,-9.646487,0.093575716,0.24092352,0.22798124,0.108944,0.064814515,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200762252,200761729,42042859,60.1877325,24.832678599999998,0.04397129,-0.9850307,-3.0565536,0.2201162,0.143384,-2.0861626e-07,-0.0013252279,-0.010298674,0.036186974,0.06368676,-0.025945434,0.04994766,0.011585729,-0.10634281,0.10437042,0.0069083823,-2.1897647,0.05088118,-0.006374578,0.00729649,6.4869186e-05,-9.646487,0.09209728,0.24100792,0.22782983,0.10897317,0.06479877,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200862255,200861730,42042859,60.1877325,24.832678599999998,0.043315753,-0.98750705,-3.0504851,0.2201162,0.143384,-2.0861626e-07,-0.0010315857,-0.010044195,0.03762482,0.0646668,-0.025945434,0.04994766,0.011585729,-0.08752993,0.02492811,0.084943086,-2.1895204,0.050881416,-0.006206905,0.00729649,6.487922e-05,-9.646487,0.092571974,0.2410953,0.2281566,0.10900855,0.06483285,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
200962280,200961729,42042859,60.1877325,24.832678599999998,0.043340642,-0.9903225,-3.0441463,0.2201162,0.143384,-2.0861626e-07,-0.0012223462,-0.010461652,0.040537395,0.06724746,-0.025945434,0.04994766,0.011585729,0.10046282,-0.20500976,0.049907178,-2.1895194,0.050879773,-0.006279681,0.00729649,6.488473e-05,-9.646487,0.09169173,0.24117446,0.22800505,0.109020464,0.06481678,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201062236,201061729,42042859,60.1877325,24.832678599999998,0.043575782,-0.99179846,-3.038099,0.2201162,0.143384,-2.0861626e-07,-0.0003084325,-0.007124974,0.041907102,0.067861915,-0.025945434,0.04994766,0.011585729,0.039951712,0.1893901,0.24991241,-2.1895223,0.05087962,-0.006340794,0.00729649,6.488514e-05,-9.646487,0.09069657,0.24123627,0.22784351,0.10901055,0.064793706,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
